emp_no,birth_date
10742,1955-03-13
10745,1953-10-23
10749,1955-08-21
10750,1953-06-14
10764,1953-01-12
10767,1954-02-28
10768,1955-06-24
10778,1953-03-13
10791,1954-05-27
10795,1954-12-14
10808,1955-09-11
10811,1954-06-29
10813,1954-07-04
10814,1952-09-17
10826,1952-12-06
10827,1953-09-25
10830,1954-08-17
10831,1953-10-11
10833,1953-04-12
10834,1954-12-16
10835,1952-11-23
10836,1953-07-15
10844,1954-02-03
10846,1952-06-27
10847,1952-03-04
10848,1954-07-16
10849,1953-03-05
10854,1954-08-11
10858,1952-10-01
10871,1952-10-24
10872,1952-02-21
10873,1952-07-09
10878,1952-06-13
10879,1953-08-18
10882,1953-11-01
10883,1952-07-30
10885,1953-05-06
10887,1953-01-16
10900,1955-07-18
10906,1952-02-06
10909,1954-11-11
10913,1952-09-03
10920,1955-04-08
10921,1955-07-20
10924,1954-04-27
10926,1954-10-13
10927,1953-03-13
10930,1954-01-13
10932,1955-11-19
10936,1953-04-08
10942,1952-08-08
10943,1955-11-19
10944,1952-05-25
10947,1954-09-29
10949,1953-08-14
10956,1955-02-02
10965,1955-07-10
10969,1954-09-05
10974,1952-03-07
10986,1954-08-11
10987,1952-11-26
10988,1955-06-24
10989,1954-09-08
10990,1954-10-22
10996,1955-02-01
11004,1954-08-05
11009,1954-08-30
11012,1953-09-12
11019,1954-09-06
11021,1954-07-13
11027,1955-12-13
11031,1954-12-20
11032,1953-04-19
11037,1952-05-22
11038,1955-10-13
11042,1955-07-13
11048,1952-10-26
11050,1952-09-23
11051,1952-10-06
11056,1955-10-24
11061,1954-11-11
11064,1952-08-10
11066,1954-11-06
11070,1952-06-30
11071,1954-07-18
11075,1954-10-28
11079,1952-09-18
11081,1952-06-20
11083,1954-07-09
11084,1955-07-03
11085,1953-09-08
11087,1954-05-17
11089,1955-02-18
11091,1952-10-10
11092,1954-09-28
11098,1953-09-11
11100,1955-10-14
11106,1955-02-23
11111,1954-07-14
11112,1954-08-05
11113,1953-04-28
11121,1953-02-13
11130,1953-01-17
11132,1952-08-01
11133,1955-12-13
11134,1954-05-15
11137,1955-03-17
11139,1955-10-13
11143,1955-03-06
11144,1954-12-07
11146,1954-06-25
11147,1955-09-26
11148,1953-01-23
11158,1952-02-23
11162,1953-03-25
11168,1953-05-03
11170,1952-05-05
11174,1952-09-14
11177,1954-04-09
11180,1952-11-07
11181,1952-05-28
11185,1954-04-10
11186,1953-07-15
11189,1953-03-07
11192,1952-09-06
11197,1955-05-11
11201,1952-05-20
11204,1955-12-15
11207,1955-08-14
11208,1952-05-29
11211,1952-12-11
11213,1955-10-19
11217,1954-07-01
11229,1953-10-20
11232,1955-09-03
11233,1952-05-08
11240,1955-08-12
11243,1955-06-14
11249,1954-10-01
11251,1955-10-16
11253,1952-09-11
11254,1954-12-14
11258,1953-10-12
11266,1955-08-09
11267,1955-10-18
11268,1954-05-14
11274,1954-09-08
11275,1955-10-18
11289,1953-03-20
11290,1953-05-07
11292,1953-05-18
11294,1954-06-11
11295,1953-02-03
11296,1954-12-24
11301,1953-08-19
11317,1954-07-24
11319,1955-06-05
11320,1954-04-13
11322,1952-07-19
11324,1953-11-16
11325,1952-02-06
11326,1952-09-15
11338,1954-11-03
11339,1954-06-05
11340,1952-12-04
11343,1954-09-10
11347,1954-12-27
11349,1953-09-05
11360,1953-05-24
11365,1953-11-17
11373,1953-07-29
11376,1952-03-10
11380,1952-04-23
11385,1952-03-04
11386,1954-09-27
11393,1954-05-17
11396,1955-02-06
11398,1953-05-30
11401,1952-12-20
11404,1954-09-15
11406,1955-04-11
11410,1953-11-27
11415,1953-10-29
11417,1954-11-20
11418,1954-03-21
11420,1955-04-30
11421,1953-11-07
11423,1954-09-16
11425,1955-11-20
11441,1954-11-16
11446,1954-06-20
11449,1955-03-30
11451,1955-05-05
11452,1953-01-16
11459,1953-10-14
11460,1955-11-19
11469,1952-12-01
11474,1953-04-17
11476,1954-06-20
11479,1953-12-02
11503,1953-08-01
11506,1955-06-16
11509,1954-06-18
11513,1954-07-16
11515,1955-03-03
11518,1953-07-21
11519,1954-11-26
11523,1953-01-25
11524,1955-10-26
11527,1952-02-06
11528,1955-04-26
11531,1952-09-08
11533,1953-10-30
11537,1955-06-29
11540,1954-01-26
11554,1955-05-28
11555,1955-08-05
11567,1954-07-06
11568,1955-12-01
11573,1952-12-18
11575,1955-02-22
11577,1953-01-11
11581,1953-04-12
11587,1954-07-04
11589,1955-01-10
11595,1953-02-26
11596,1952-12-22
11602,1953-08-09
11603,1954-12-07
11606,1952-11-05
11607,1953-12-03
11615,1955-03-05
11616,1954-07-12
11624,1955-05-16
11628,1952-02-14
11640,1953-10-06
11641,1955-10-13
11644,1952-04-08
11646,1953-06-22
11647,1953-10-13
11649,1954-10-07
11660,1955-07-19
11664,1955-08-27
11667,1955-05-15
11673,1954-12-20
11676,1952-04-12
11681,1952-05-15
11684,1953-03-07
11690,1953-11-10
11693,1952-02-15
11696,1954-10-26
11713,1952-02-27
11732,1955-06-14
11733,1954-05-25
11735,1955-02-19
11736,1953-08-21
11737,1952-07-17
11746,1952-05-22
11748,1953-03-07
11751,1953-02-02
11756,1955-02-24
11763,1953-08-19
11764,1953-04-22
11765,1955-08-17
11769,1953-07-17
11770,1955-08-26
11772,1954-06-19
11774,1954-07-11
11778,1953-04-23
11779,1952-06-07
11791,1955-11-07
11797,1954-08-12
11801,1953-11-22
11807,1955-12-25
11810,1952-12-08
11811,1953-07-05
11817,1955-05-25
11822,1954-08-30
11823,1954-09-25
11829,1952-08-01
11832,1952-05-18
11836,1952-09-14
11841,1955-04-21
11842,1954-03-31
11844,1953-10-30
11846,1954-04-24
11853,1952-06-19
11857,1955-12-03
11862,1954-01-25
11864,1952-06-14
11868,1954-03-02
11869,1955-09-14
11871,1953-05-02
11872,1953-01-17
11876,1954-09-17
11881,1952-08-06
11888,1952-04-05
11894,1954-12-23
11896,1953-06-14
11897,1952-11-23
11906,1955-04-26
11911,1952-07-08
11915,1954-08-16
11917,1955-03-26
11926,1955-04-06
11931,1952-10-30
11933,1953-08-15
11938,1954-01-14
11940,1954-06-24
11944,1952-05-15
11945,1952-02-17
11948,1952-02-21
11949,1953-01-27
11951,1955-05-08
11965,1954-12-03
11972,1954-10-01
11980,1955-07-03
11983,1953-01-04
11989,1953-10-29
11993,1955-10-29
11994,1953-02-11
12007,1952-06-18
12011,1953-12-16
12015,1954-08-26
12021,1955-03-11
12023,1954-07-05
12024,1952-11-09
12028,1952-11-21
12030,1953-06-02
12034,1954-04-15
12036,1953-03-02
12037,1954-01-11
12040,1955-03-24
12043,1952-12-11
12044,1955-08-16
12047,1954-01-16
12050,1953-06-08
12053,1955-06-20
12054,1954-04-08
12060,1955-03-25
12062,1954-01-20
12063,1955-07-06
12069,1953-12-27
12070,1955-07-23
12076,1955-03-16
12080,1953-10-16
12082,1953-09-20
12089,1954-06-21
12090,1955-03-27
12091,1955-02-19
12092,1955-07-20
12093,1952-07-02
12094,1955-05-02
12099,1953-01-12
12102,1952-10-14
12112,1953-07-01
12114,1954-11-05
12122,1954-06-27
12123,1954-07-08
12125,1953-04-16
12138,1953-09-02
12140,1952-07-30
12149,1954-10-25
12159,1955-08-15
12160,1954-12-11
12164,1954-01-04
12165,1952-11-19
12168,1954-07-10
12172,1954-04-04
12174,1955-02-01
12183,1954-06-29
12186,1952-12-06
12190,1952-12-19
12191,1953-12-02
12192,1954-11-06
12205,1955-08-24
12206,1954-11-21
12210,1954-01-12
12213,1952-09-26
12216,1954-12-27
12218,1954-08-01
12219,1952-07-13
12221,1955-07-14
12222,1953-03-04
12223,1954-07-27
12230,1952-02-08
12231,1954-08-27
12235,1954-06-05
12242,1954-04-08
12247,1952-03-26
12249,1952-09-20
12250,1954-10-02
12256,1955-02-15
12258,1955-01-06
12264,1953-12-30
12269,1952-06-22
12270,1953-08-10
12272,1955-10-16
12273,1953-11-22
12281,1953-08-13
12282,1952-02-02
12291,1953-12-28
12298,1954-03-03
12308,1952-02-17
12311,1955-02-11
12316,1953-12-30
12317,1952-05-23
12327,1952-05-21
12328,1952-05-29
12338,1952-09-23
12339,1954-08-14
12341,1955-02-13
12343,1952-10-18
12355,1953-09-12
12364,1954-07-01
12365,1954-01-21
12368,1955-10-07
12373,1953-04-26
12379,1955-04-04
12381,1953-04-13
12388,1954-12-14
12394,1952-02-09
12395,1955-01-08
12399,1955-11-15
12411,1952-05-31
12413,1955-06-17
12417,1955-11-18
12421,1955-03-15
12422,1954-12-04
12426,1952-04-29
12427,1955-09-15
12434,1953-09-23
12438,1953-11-24
12450,1952-02-10
12452,1953-10-04
12454,1954-08-21
12464,1955-09-08
12466,1953-07-30
12468,1952-05-05
12475,1953-03-30
12480,1953-02-19
12487,1954-04-24
12488,1954-11-09
12489,1955-01-23
12490,1955-08-08
12492,1953-07-13
12497,1953-08-26
12499,1955-09-22
12501,1954-11-22
12502,1952-07-22
12504,1953-01-04
12506,1955-07-13
12509,1954-05-20
12514,1952-11-14
12515,1952-05-22
12520,1954-01-21
12522,1954-03-06
12523,1954-09-26
12524,1954-02-08
12528,1952-11-20
12534,1953-01-31
12537,1955-11-23
12540,1953-11-03
12541,1952-04-22
12542,1954-07-26
12551,1954-03-15
12553,1954-05-08
12555,1953-06-24
12557,1954-01-01
12558,1955-02-09
12563,1953-07-03
12564,1955-10-03
12571,1952-04-16
12574,1954-09-02
12586,1952-11-02
12588,1954-12-29
12589,1952-11-23
12590,1953-02-04
12596,1955-10-10
12597,1952-09-07
12601,1955-08-16
12603,1953-11-23
12608,1955-10-27
12612,1954-01-09
12617,1953-05-07
12623,1953-01-02
12626,1954-07-16
12630,1954-04-23
12635,1952-11-09
12636,1955-11-21
12638,1954-11-09
12639,1952-10-13
12642,1955-09-27
12644,1952-06-09
12645,1955-04-01
12651,1952-07-24
12656,1955-08-12
12662,1952-08-02
12663,1954-10-31
12664,1952-05-01
12666,1955-03-14
12670,1952-06-10
12672,1953-04-26
12680,1954-09-15
12687,1954-12-06
12689,1953-01-19
12691,1952-10-17
12697,1955-06-25
12707,1953-07-22
12709,1955-08-09
12715,1955-12-31
12717,1953-04-17
12722,1955-09-23
12725,1953-07-28
12726,1954-03-27
12729,1954-05-18
12731,1953-05-09
12732,1952-09-27
12734,1952-03-05
12746,1953-10-11
12747,1955-10-23
12748,1953-12-23
12753,1952-12-22
12754,1955-06-11
12755,1955-02-20
12761,1953-11-05
12769,1955-05-11
12770,1955-01-17
12773,1952-06-26
12774,1952-12-30
12777,1954-11-01
12785,1954-10-20
12786,1953-01-28
12789,1955-03-20
12790,1953-02-05
12795,1952-05-06
12796,1954-05-02
12798,1952-05-18
12799,1954-11-21
12803,1952-05-12
12807,1955-10-05
12810,1955-06-15
12815,1955-03-25
12819,1953-07-30
12821,1952-06-01
12828,1954-01-30
12829,1955-08-25
12840,1952-12-20
12843,1955-12-17
12848,1953-01-17
12851,1953-08-08
12855,1953-10-24
12857,1952-06-02
12863,1954-08-02
12865,1952-04-03
12868,1952-08-28
12869,1952-05-11
12872,1953-02-18
12879,1955-09-07
12881,1953-08-21
12885,1952-12-25
12887,1953-01-04
12889,1952-05-02
12890,1955-10-05
12893,1954-10-09
12895,1952-04-28
12899,1954-07-13
12905,1955-01-24
12910,1955-01-27
12915,1955-08-17
12923,1953-09-05
12926,1952-04-24
12934,1953-06-21
12936,1955-11-13
12940,1953-10-25
12941,1954-07-29
12944,1955-07-07
12949,1955-02-24
12960,1955-07-20
12962,1952-10-26
12969,1955-03-27
12977,1954-11-29
12982,1952-12-08
12983,1954-04-07
12986,1952-03-08
12987,1953-10-08
13000,1955-01-31
13002,1954-12-08
13004,1952-12-13
13008,1955-12-23
13011,1955-02-25
13013,1952-10-17
13027,1955-03-13
13030,1955-02-12
13034,1955-02-21
13046,1953-03-09
13047,1953-04-24
13048,1952-07-17
13052,1952-09-26
13054,1952-03-24
13065,1955-07-27
13067,1955-08-01
13075,1955-05-24
13076,1954-03-09
13084,1953-01-05
13086,1953-06-10
13093,1953-08-12
13096,1953-01-03
13103,1952-05-09
13108,1955-10-16
13110,1953-09-29
13124,1955-11-06
13126,1953-05-03
13133,1955-06-21
13134,1955-06-25
13140,1955-07-03
13143,1953-10-06
13144,1952-07-11
13146,1953-11-01
13147,1955-12-28
13150,1953-06-28
13156,1952-04-19
13159,1954-09-22
13161,1955-05-04
13165,1954-09-09
13168,1954-06-10
13170,1955-10-25
13171,1954-12-29
13173,1953-04-20
13175,1955-10-23
13179,1955-09-09
13182,1954-02-25
13186,1955-06-19
13189,1955-11-29
13192,1953-01-28
13200,1952-05-24
13202,1953-05-10
13203,1953-09-08
13204,1954-07-25
13206,1954-04-07
13210,1953-06-19
13213,1954-12-29
13216,1952-10-16
13227,1952-07-15
13232,1955-01-29
13233,1954-08-11
13235,1955-03-09
13238,1953-02-23
13240,1955-02-14
13246,1952-06-09
13250,1954-02-20
13252,1955-04-11
13260,1954-08-02
13263,1955-03-18
13272,1953-10-11
13276,1955-05-07
13282,1954-06-12
13288,1952-08-24
13290,1955-06-01
13291,1952-04-29
13294,1954-12-29
13302,1954-06-21
13303,1952-06-20
13309,1954-11-13
13312,1953-11-11
13315,1955-09-08
13320,1954-08-04
13332,1954-12-02
13333,1953-07-17
13341,1953-06-02
13342,1955-04-03
13343,1952-04-06
13346,1954-07-16
13347,1953-03-01
13349,1954-01-21
13357,1953-08-19
13361,1955-10-01
13368,1953-12-29
13371,1954-01-23
13373,1954-09-08
13374,1954-05-16
13378,1952-09-18
13379,1953-08-26
13385,1954-11-15
13386,1952-04-27
13388,1954-03-19
13389,1954-04-26
13390,1954-06-18
13392,1953-04-05
13394,1953-12-17
13396,1952-05-19
13402,1955-05-15
13405,1954-01-19
13407,1954-01-09
13408,1954-12-27
13412,1952-03-13
13415,1955-06-23
13416,1955-12-15
13417,1953-05-20
13422,1952-08-20
13427,1955-03-13
13439,1954-05-14
13442,1953-03-14
13443,1954-07-22
13445,1954-12-22
13451,1952-03-21
13453,1955-11-30
13456,1955-06-26
13457,1955-06-27
13458,1954-12-21
13460,1955-05-13
13463,1954-08-29
13465,1953-11-01
13467,1954-11-15
13472,1954-07-18
13475,1952-07-31
13493,1954-09-08
13500,1954-01-10
13504,1954-01-09
13505,1954-12-11
13520,1952-09-17
13522,1952-11-20
13523,1952-03-06
13524,1955-11-06
13535,1954-12-25
13539,1954-11-23
13540,1953-11-09
13544,1955-11-10
13546,1955-02-22
13549,1952-05-02
13552,1955-03-23
13554,1955-11-02
13571,1953-11-25
13575,1954-02-17
13576,1954-08-05
13586,1955-10-09
13591,1953-01-23
13596,1952-05-02
13598,1955-07-22
13600,1955-02-25
13605,1953-08-02
13612,1954-03-01
13617,1955-08-12
13621,1954-02-28
13624,1952-12-15
13629,1954-09-13
13642,1954-03-07
13643,1954-10-20
13648,1954-03-28
13653,1955-01-01
13662,1952-04-13
13670,1953-05-06
13673,1953-12-15
13680,1953-08-08
13683,1954-09-15
13685,1954-05-02
13697,1953-04-07
13704,1955-05-26
13708,1953-02-08
13713,1952-06-14
13719,1954-06-22
13721,1952-07-01
13727,1952-08-13
13730,1954-06-28
13738,1953-02-05
13744,1954-05-09
13745,1954-04-22
13758,1953-08-28
13762,1953-10-24
13766,1952-05-03
13769,1955-10-07
13772,1954-01-31
13775,1955-06-30
13776,1953-03-16
13786,1952-02-27
13787,1952-08-10
13792,1953-05-06
13796,1953-07-02
13797,1955-10-03
13798,1955-10-23
13799,1952-06-03
13800,1952-02-25
13809,1953-07-05
13811,1955-06-19
13815,1953-04-19
13825,1955-06-12
13831,1953-08-14
13838,1955-02-12
13841,1952-12-10
13842,1954-01-21
13846,1952-08-01
13847,1954-02-16
13853,1952-03-10
13856,1952-10-12
13857,1955-02-15
13859,1952-08-01
13861,1955-10-23
13863,1954-10-31
13870,1952-04-25
13875,1954-04-08
13884,1953-05-03
13888,1952-10-15
13894,1952-11-15
13897,1953-04-13
13899,1954-12-24
13904,1954-02-19
13911,1954-10-16
13913,1952-03-16
13919,1952-04-22
13922,1953-03-29
13924,1955-05-23
13928,1954-01-15
13934,1953-11-20
13936,1954-09-07
13942,1953-04-17
13943,1954-05-25
13944,1952-02-02
13946,1953-12-31
13948,1955-09-12
13951,1953-01-28
13960,1953-01-03
13962,1955-11-14
13966,1954-01-03
13969,1953-06-06
13972,1952-09-23
13987,1954-08-30
13990,1952-03-07
13992,1955-09-27
13993,1953-11-30
13999,1952-11-25
14001,1954-01-27
14005,1955-04-08
14011,1952-11-26
14012,1952-06-10
14015,1952-06-21
14024,1954-02-22
14030,1954-02-16
14031,1955-07-17
14034,1952-05-07
14038,1953-11-28
14039,1954-03-30
14041,1954-05-09
14049,1955-01-04
14051,1952-12-01
14058,1952-12-11
14066,1952-11-07
14067,1955-04-03
14074,1955-11-10
14084,1954-04-25
14086,1953-09-30
14088,1953-06-03
14093,1952-04-07
14105,1954-04-01
14107,1953-01-05
14111,1955-03-27
14112,1955-09-22
14118,1953-03-09
14122,1953-08-17
14128,1955-07-01
14130,1952-11-25
14140,1955-12-23
14146,1955-03-08
14147,1953-10-19
14148,1953-05-13
14150,1953-02-14
14159,1953-11-12
14165,1953-02-21
14167,1953-08-11
14168,1955-06-04
14172,1952-12-10
14182,1955-05-22
14191,1952-09-07
14199,1954-06-28
14200,1952-04-23
14209,1955-10-24
14214,1955-10-03
14217,1955-06-23
14220,1952-05-01
14232,1954-09-19
14233,1954-12-18
14234,1953-11-21
14236,1952-06-14
14237,1954-10-17
14241,1954-03-23
14242,1955-03-14
14244,1955-08-19
14245,1955-02-09
14246,1955-10-09
14248,1955-10-13
14251,1954-11-05
14252,1952-07-15
14253,1954-01-17
14257,1952-05-07
14259,1953-07-13
14273,1954-09-12
14277,1953-11-28
14281,1952-03-17
14285,1953-11-14
14290,1955-01-21
14292,1953-08-21
14298,1953-10-02
14302,1955-10-17
14310,1953-06-07
14320,1953-06-17
14321,1953-07-20
14322,1952-08-14
14323,1952-05-31
14326,1955-09-07
14327,1954-12-17
14329,1954-03-05
14330,1955-02-26
14331,1952-10-15
14332,1953-02-17
14335,1955-09-16
14340,1955-01-03
14342,1952-11-19
14344,1955-02-10
14354,1954-05-30
14360,1955-05-25
14364,1952-08-03
14369,1953-05-22
14370,1952-06-06
14372,1952-04-15
14382,1954-10-08
14384,1954-04-30
14385,1954-11-21
14388,1952-12-28
14394,1954-01-18
14398,1953-05-14
14406,1954-03-03
14411,1952-05-14
14418,1954-07-02
14422,1953-10-09
14424,1954-08-31
14434,1954-07-08
14436,1953-11-01
14439,1953-07-27
14455,1953-12-24
14456,1955-01-30
14457,1955-06-24
14460,1955-11-28
14478,1952-05-01
14481,1952-10-30
14483,1954-11-01
14484,1953-01-15
14486,1952-07-06
14490,1953-06-09
14494,1953-04-30
14497,1954-03-25
14498,1953-11-03
14500,1955-05-11
14501,1952-06-11
14502,1953-02-18
14509,1954-09-05
14513,1953-08-02
14515,1952-02-22
14516,1955-10-19
14518,1955-06-19
14522,1955-08-07
14524,1952-11-17
14526,1954-01-27
14530,1954-05-24
14534,1954-08-19
14537,1953-12-03
14544,1955-03-30
14548,1955-07-12
14552,1953-03-21
14556,1954-08-27
14560,1952-03-15
14563,1953-12-16
14564,1953-11-15
14568,1954-12-29
14572,1955-06-22
14574,1953-06-19
14577,1953-03-10
14581,1955-08-05
14582,1954-06-07
14589,1953-07-01
14595,1955-09-02
14597,1953-12-27
14600,1952-12-22
14603,1954-11-13
14607,1953-06-05
14610,1954-08-10
14611,1952-12-06
14620,1954-06-15
14621,1953-01-17
14622,1954-10-25
14623,1955-09-09
14627,1955-05-11
14632,1955-08-02
14634,1955-08-04
14639,1954-04-03
14640,1952-10-17
14642,1955-06-29
14645,1955-03-06
14646,1953-03-06
14648,1955-03-28
14654,1955-07-25
14659,1952-11-19
14665,1955-11-09
14667,1955-04-13
14668,1952-03-07
14670,1953-04-17
14674,1955-08-10
14675,1955-08-02
14676,1952-09-30
14677,1955-11-29
14678,1953-07-09
14681,1955-12-14
14683,1955-03-02
14684,1954-02-09
14690,1953-11-07
14692,1952-08-16
14693,1952-12-08
14703,1953-11-11
14710,1954-06-03
14716,1954-01-31
14717,1954-04-04
14723,1953-08-23
14724,1955-12-19
14741,1953-03-08
14745,1953-10-07
14746,1952-07-19
14750,1955-05-02
14752,1952-03-21
14756,1953-09-15
14761,1952-07-19
14763,1952-03-19
14776,1954-08-10
14777,1954-06-09
14780,1952-09-08
14785,1955-04-23
14789,1954-05-26
14791,1952-12-12
14793,1954-11-11
14801,1953-05-02
14802,1955-07-03
14814,1955-09-01
14815,1955-04-15
14817,1955-04-13
14818,1952-04-01
14820,1955-11-26
14821,1954-12-09
14826,1954-01-26
14828,1955-09-27
14837,1952-06-10
14839,1952-09-21
14842,1954-07-30
14853,1952-06-30
14874,1954-02-21
14877,1955-11-15
14879,1954-02-18
14881,1954-09-20
14885,1952-04-20
14888,1952-02-14
14899,1954-02-26
14902,1954-11-01
14906,1953-01-06
14908,1952-05-27
14909,1954-12-31
14911,1952-10-20
14914,1953-04-20
14915,1952-05-20
14920,1953-07-14
14921,1955-06-18
14923,1953-10-08
14925,1952-06-14
14926,1954-11-21
14928,1955-06-23
14930,1954-05-04
14941,1952-03-21
14942,1955-01-22
14949,1952-09-21
14954,1955-04-04
14971,1955-04-07
14973,1952-03-25
14978,1953-09-08
14983,1955-06-10
14993,1955-10-29
15004,1952-11-27
15005,1954-04-02
15015,1955-02-13
15016,1953-05-27
15018,1954-08-08
15019,1953-07-29
15025,1952-12-03
15029,1954-04-08
15030,1954-02-21
15036,1953-04-22
15042,1954-07-03
15043,1952-12-11
15049,1954-12-23
15052,1955-02-03
15055,1953-03-26
15059,1953-07-24
15064,1955-07-27
15066,1953-06-03
15069,1952-12-08
15071,1953-10-31
15075,1952-12-13
15077,1954-11-29
15080,1954-06-13
15082,1953-04-06
15087,1954-10-11
15089,1952-12-01
15092,1955-06-22
15094,1952-02-09
15102,1952-07-02
15105,1953-03-11
15112,1954-12-12
15114,1955-08-07
15118,1954-09-17
15123,1953-08-01
15124,1955-05-06
15129,1955-11-27
15134,1952-08-02
15136,1952-10-11
15139,1954-03-24
15143,1953-08-04
15145,1954-08-16
15150,1953-12-16
15151,1953-11-13
15155,1953-07-08
15169,1955-10-31
15176,1953-10-11
15179,1953-08-19
15183,1955-04-08
15184,1953-10-31
15193,1955-12-07
15195,1954-10-01
15196,1955-03-12
15202,1954-05-22
15204,1954-08-18
15207,1953-05-20
15208,1954-08-17
15216,1952-04-24
15218,1955-05-30
15223,1954-02-01
15228,1953-11-18
15230,1954-01-10
15231,1953-07-16
15234,1955-10-18
15237,1953-09-02
15243,1954-02-07
15248,1952-03-17
15253,1954-03-17
15254,1954-07-31
15263,1952-06-17
15269,1955-11-01
15271,1953-10-17
15272,1955-09-05
15283,1954-11-26
15292,1954-12-26
15303,1954-01-09
15308,1955-11-14
15319,1955-02-26
15321,1955-02-15
15324,1953-05-10
15329,1954-12-21
15330,1955-10-08
15331,1953-08-16
15337,1953-10-05
15340,1955-02-06
15341,1954-03-06
15343,1955-05-21
15354,1954-10-08
15358,1953-09-27
15361,1955-08-20
15365,1952-03-09
15366,1954-08-17
15369,1952-10-11
15370,1955-07-02
15372,1954-01-22
15374,1952-05-24
15375,1953-02-14
15377,1953-12-08
15382,1952-07-28
15390,1953-07-23
15392,1955-02-07
15395,1952-07-04
15403,1955-10-12
15406,1952-11-25
15408,1955-02-27
15409,1954-08-20
15410,1954-08-18
15412,1954-05-17
15414,1955-06-05
15420,1955-01-24
15422,1952-04-26
15425,1955-06-17
15428,1953-03-21
15438,1953-08-17
15441,1954-03-11
15452,1954-01-14
15454,1954-05-20
15459,1954-07-29
15461,1954-04-01
15465,1954-01-22
15470,1952-03-30
15474,1953-09-21
15479,1955-10-24
15480,1955-08-06
15482,1954-08-24
15484,1954-06-27
15489,1952-12-27
15491,1953-02-04
15497,1953-08-04
15504,1954-09-12
15505,1954-10-18
15508,1953-05-08
15510,1954-01-13
15511,1955-12-29
15512,1954-06-29
15513,1955-07-13
15517,1955-07-26
15518,1953-01-26
15525,1952-02-18
15532,1954-12-15
15534,1954-02-23
15535,1953-04-24
15541,1953-10-05
15543,1954-05-25
15548,1954-12-07
15550,1955-05-23
15555,1954-07-16
15563,1952-03-10
15565,1954-04-27
15566,1955-09-25
15571,1955-12-14
15582,1952-03-02
15583,1953-06-20
15593,1954-04-25
15600,1954-01-17
15601,1954-07-08
15603,1952-08-31
15604,1955-08-21
15621,1953-01-08
15636,1954-03-04
15637,1952-03-24
15638,1952-07-21
15643,1955-05-22
